113.	Dorsten	39.551	70.287	78.035	81.063	76.775	75.252	Nordrhein-Westfalen
114.	Lüneburg	59.763	62.225	61.870	67.398	72.983	75.192	Niedersachsen
115.	Troisdorf	51.941	58.618	64.430	72.678	75.369	74.870	Nordrhein-Westfalen
116.	Detmold	63.684	67.612	70.074	73.695	72.758	74.353	Nordrhein-Westfalen
117.	Bayreuth	64.185	70.633	72.345	74.153	72.683	73.999	Bayern
118.	Castrop-Rauxel	83.901	78.877	79.037	78.608	75.408	73.989	Nordrhein-Westfalen
119.	Arnsberg	22.398	78.056	75.864	77.473	74.227	73.814	Nordrhein-Westfalen
120.	Lüdenscheid	79.086	74.578	79.401	80.613	75.463	72.894	Nordrhein-Westfalen
121.	Brandenburg an der Havel	93.983	94.953	89.889	77.516	71.778	71.886	Brandenburg
122.	Landshut	52.425	55.796	59.066	58.746	63.258	71.193	Bayern
123.	Bocholt	49.244	65.352	68.936	72.138	73.170	71.036	Nordrhein-Westfalen
124.	Aschaffenburg	55.119	59.257	64.098	67.592	68.678	69.928	Bayern
125.	Celle	57.130	72.820	72.260	72.127	70.242	69.706	Niedersachsen
126.	Kempten (Allgäu)	44.884	57.376	61.906	61.389	62.060	68.330	Bayern
127.	Fulda	45.187	57.035	56.289	62.510	64.349	67.973	Hessen
128.	Lippstadt	41.743	61.927	62.345	66.933	66.976	67.936	Nordrhein-Westfalen
129.	Aalen	37.066	63.030	64.781	66.066	66.113	67.849	Baden-Württemberg
130.	Dinslaken	55.241	59.473	65.313	70.714	69.472	67.489	Nordrhein-Westfalen
131.	Herford	65.422	62.881	63.893	65.083	64.088	66.923	Nordrhein-Westfalen
132.	Kerpen	10.608	54.725	57.337	63.135	64.602	65.420	Nordrhein-Westfalen
133.	Plauen	82.026	78.828	71.774	71.543	66.098	65.148	Sachsen
134.	Rüsselsheim am Main	60.911	60.974	59.430	59.357	60.294	64.922	Hessen
135.	Neuwied	62.666	60.485	62.075	67.057	64.318	64.661	Rheinland-Pfalz
136.	Sindelfingen	41.967	54.808	58.805	60.766	60.445	64.599	Baden-Württemberg
137.	Weimar	63.634	63.709	60.326	62.425	65.479	64.426	Thüringen
138.	Neubrandenburg	46.087	79.006	89.284	73.318	65.282	64.259	Mecklenburg-Vorpommern
139.	Dormagen	30.869	56.645	58.260	62.957	62.961	64.177	Nordrhein-Westfalen
140.	Grevenbroich	27.698	60.317	60.835	64.688	63.891	63.204	Nordrhein-Westfalen
141.	Rosenheim	37.078	51.604	56.340	58.908	61.299	63.080	Bayern
142.	Herten	52.966	69.247	69.245	66.930	62.235	61.669	Nordrhein-Westfalen
143.	Bergheim	10.493	54.064	58.146	63.526	62.129	61.099	Nordrhein-Westfalen
144.	Schwäbisch Gmünd	44.385	56.901	60.081	62.188	59.654	60.914	Baden-Württemberg
145.	Garbsen	26.444	57.522	60.776	63.269	61.790	60.875	Niedersachsen
146.	Wesel	45.338	56.776	59.631	62.063	60.750	60.496	Nordrhein-Westfalen
147.	Friedrichshafen	43.651	52.080	54.129	57.213	59.002	60.088	Baden-Württemberg
148.	Hürth	52.235	50.794	50.808	53.261	57.922	59.762	Nordrhein-Westfalen
149.	Stralsund	71.489	74.947	72.780	60.663	57.670	59.517	Mecklenburg-Vorpommern
150.	Offenburg	33.066	50.486	52.964	56.891	59.215	59.060	Baden-Württemberg
151.	Greifswald	47.017	61.278	66.251	54.236	54.610	58.886	Mecklenburg-Vorpommern
152.	Langenfeld (Rheinland)	44.217	47.027	53.455	58.429	59.160	58.698	Nordrhein-Westfalen
153.	Frankfurt (Oder)	62.433	80.414	86.131	72.131	60.330	58.237	Brandenburg
154.	Neu-Ulm	27.925	47.415	46.264	50.188	53.504	57.727	Bayern
155.	Euskirchen	42.278	44.811	49.654	53.680	55.620	57.715	Nordrhein-Westfalen
156.	Hameln	47.201	58.390	58.539	58.807	57.771	57.228	Niedersachsen
157.	Unna	50.299	56.416	61.552	71.375	66.502	57.158	Nordrhein-Westfalen
158.	Göppingen	48.028	53.347	54.957	57.371	56.819	57.094	Baden-Württemberg
159.	Stolberg (Rheinland)	39.704	57.550	57.231	58.682	57.474	56.751	Nordrhein-Westfalen
160.	Görlitz	87.492	81.399	72.237	61.599	55.596	56.391	Sachsen
161.	Eschweiler	38.666	53.478	54.675	55.090	55.505	56.207	Nordrhein-Westfalen
162.	Sankt Augustin	31.892	48.580	51.886	55.248	55.442	55.873	Nordrhein-Westfalen
163.	Hilden	50.228	53.343	54.782	56.412	55.441	55.817	Nordrhein-Westfalen
164.	Meerbusch	46.904	49.876	52.104	55.175	54.318	55.548	Nordrhein-Westfalen
165.	Waiblingen	24.195	45.114	48.387	51.362	52.900	55.123	Baden-Württemberg
166.	Baden-Baden	37.185	49.142	51.849	52.627	54.445	54.718	Baden-Württemberg
167.	Hattingen	59.392	57.373	58.241	58.329	55.510	54.628	Nordrhein-Westfalen
168.	Lingen (Ems)	31.522	44.097	49.137	51.684	51.177	54.117	Niedersachsen
169.	Pulheim	11.323	44.870	49.353	53.158	53.769	53.900	Nordrhein-Westfalen
170.	Bad Homburg vor der Höhe	42.066	51.221	51.820	52.838	52.229	53.884	Hessen
171.	Bad Salzuflen	49.571	51.248	53.771	55.028	53.893	53.856	Nordrhein-Westfalen
172.	Langenhagen	35.474	46.764	47.432	49.432	52.583	53.790	Niedersachsen
173.	Schweinfurt	58.178	52.445	54.483	54.325	53.415	53.437	Bayern
174.	Neustadt an der Weinstraße	50.952	50.328	51.988	53.658	52.855	53.353	Rheinland-Pfalz
175.	Nordhorn	44.470	48.492	49.359	51.968	53.052	53.278	Niedersachsen
176.	Menden (Sauerland)	30.109	53.337	56.527	59.239	55.496	53.046	Nordrhein-Westfalen
177.	Wetzlar	36.922	51.997	51.737	52.608	51.499	52.828	Hessen
178.	Ahlen	49.970	54.192	54.169	55.631	53.414	52.530	Nordrhein-Westfalen
179.	Wolfenbüttel	40.527	50.256	52.032	54.690	53.427	52.357	Niedersachsen
180.	Frechen	31.337	43.483	44.360	47.019	49.939	52.212	Nordrhein-Westfalen
181.	Ibbenbüren	17.561	42.323	44.643	48.843	51.522	52.037	Nordrhein-Westfalen
182.	Passau	30.758	50.698	50.328	50.536	50.594	51.781	Bayern
183.	Kleve	43.640	44.026	45.963	48.662	49.477	51.320	Nordrhein-Westfalen
184.	Willich	37.747	39.115	42.416	50.300	51.949	51.179	Nordrhein-Westfalen
185.	Goslar	40.051	52.556	46.251	44.278	40.989	51.128	Niedersachsen
186.	Speyer	42.184	43.864	46.553	49.776	49.857	50.931	Rheinland-Pfalz
187.	Emden	48.595	51.186	50.735	50.963	51.616	50.607	Niedersachsen
188.	Gummersbach	44.880	48.660	50.965	53.311	51.309	50.497	Nordrhein-Westfalen
189.	Bad Kreuznach	42.258	41.143	40.950	43.164	43.703	50.484	Rheinland-Pfalz
190.	Ravensburg	32.045	42.269	45.650	47.525	49.774	50.393	Baden-Württemberg
191.	Böblingen	36.127	41.505	44.903	45.838	46.488	50.035	Baden-Württemberg
192.	Peine	31.205	47.591	46.654	49.494	48.743	49.901	Niedersachsen
193.	Erftstadt	36.578	43.208	45.403	50.689	50.553	49.647	Nordrhein-Westfalen
194.	Elmshorn	41.262	41.439	43.689	47.391	48.924	49.618	Schleswig-Holstein
195.	Heidenheim an der Brenz	49.853	48.585	50.532	51.301	48.164	49.297	Baden-Württemberg
196.	Lörrach	33.995	41.355	42.500	45.412	48.380	49.213	Baden-Württemberg
197.	Rastatt	29.915	37.297	42.241	46.437	47.554	49.100	Baden-Württemberg
198.	Bergkamen	44.304	47.977	49.761	52.905	50.587	48.829	Nordrhein-Westfalen
199.	Bad Oeynhausen	13.948	44.339	46.475	50.007	48.300	48.747	Nordrhein-Westfalen
200.	Rheda-Wiedenbrück	36.943	37.944	38.327	44.932	47.316	48.685	Nordrhein-Westfalen
201.	Cuxhaven	47.185	58.666	56.090	53.391	50.492	48.470	Niedersachsen
202.	Frankenthal (Pfalz)	41.493	43.725	46.966	47.763	46.793	48.417	Rheinland-Pfalz
203.	Freising	29.569	34.577	37.046	40.890	45.223	48.318	Bayern
204.	Leonberg	25.049	38.927	42.654	44.037	45.098	48.222	Baden-Württemberg
205.	Bornheim	31.420	34.293	35.858	45.407	48.531	48.173	Nordrhein-Westfalen
206.	Singen (Hohentwiel)	41.427	43.529	43.689	44.478	45.826	47.716	Baden-Württemberg
207.	Gronau (Westf.)	26.482	41.209	40.687	44.860	46.553	47.671	Nordrhein-Westfalen
208.	Straubing	37.826	42.674	41.715	44.014	44.450	47.586	Bayern
209.	Soest	37.671	40.791	42.602	48.520	48.579	47.376	Nordrhein-Westfalen
210.	Stade	32.769	42.818	42.487	44.929	46.159	47.330	Niedersachsen
211.	Hennef (Sieg)	26.053	29.224	32.521	42.711	46.114	47.293	Nordrhein-Westfalen
212.	Dachau	32.929	33.950	35.387	38.398	42.506	47.255	Bayern
213.	Alsdorf	30.778	46.373	46.935	46.087	45.522	46.891	Nordrhein-Westfalen
214.	Neunkirchen	43.411	51.992	51.536	50.882	47.398	46.767	Saarland
215.	Schwerte	24.402	47.810	50.696	50.834	48.259	46.641	Nordrhein-Westfalen
